Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2024-02-06 00:46:12 UTC,Staking Income,ADA,0.068099,USD,0.49215,0.03,0.03,0,
2024-02-04 20:02:46 UTC,Staking Income,SOL,0.00033227,USD,96.37,0.03,0.03,0,
2024-02-02 17:23:58 UTC,Staking Income,SOL,0.000330842,USD,100.225,0.03,0.03,0,
2024-02-01 21:15:30 UTC,Staking Income,SOL,0.000326786,USD,97.925,0.03,0.03,0,
2024-02-01 03:06:14 UTC,Staking Income,ADA,0.073847,USD,0.49245,0.04,0.04,0,
2024-01-31 19:06:18 UTC,Staking Income,SOL,0.000332485,USD,101.83,0.03,0.03,0,
2024-01-27 21:16:47 UTC,Staking Income,SOL,0.000332539,USD,93.045,0.03,0.03,0,
2024-01-27 04:16:11 UTC,Staking Income,ADA,0.071817,USD,0.48725,0.03,0.03,0,
2024-01-25 22:11:34 UTC,Staking Income,SOL,0.000330286,USD,86.535,0.03,0.03,0,
2024-01-23 20:07:02 UTC,Staking Income,SOL,0.000329451,USD,81.145,0.03,0.03,0,
2024-01-22 17:18:25 UTC,Staking Income,SOL,0.000002947,USD,86.55,0,0,0,
2024-01-22 05:01:24 UTC,Staking Income,SOL,0.000320294,USD,88.295,0.03,0.03,0,
2024-01-21 21:33:04 UTC,Staking Income,ADA,0.074853,USD,0.50885,0.04,0.04,0,
2024-01-21 18:52:49 UTC,Staking Income,SOL,0.000056916,USD,92.54,0.01,0.01,0,
2024-01-20 18:32:53 UTC,Staking Income,SOL,0.000002428,USD,92.425,0,0,0,
2024-01-20 09:49:00 UTC,Staking Income,SOL,0.000327816,USD,91.6,0.03,0.03,0,
2024-01-20 01:08:54 UTC,Staking Income,ADA,0.074567,USD,0.5014,0.04,0.04,0,
2024-01-17 19:15:26 UTC,Staking Income,SOL,0.000001106,USD,99.83,0,0,0,
2024-01-16 22:43:15 UTC,Staking Income,SOL,0.000328188,USD,98.125,0.03,0.03,0,
2024-01-15 16:56:58 UTC,Staking Income,SOL,0.000001028,USD,94.59,0,0,0,
2024-01-15 02:38:54 UTC,Staking Income,SOL,0.000325693,USD,95.95,0.03,0.03,0,
2024-01-14 15:21:52 UTC,Staking Income,SOL,0.000328529,USD,98.555,0.03,0.03,0,
2024-01-14 11:33:11 UTC,Staking Income,ADA,0.070412,USD,0.54605,0.04,0.04,0,
2024-01-10 19:44:12 UTC,Staking Income,SOL,0.000329958,USD,95.815,0.03,0.03,0,
2024-01-07 20:54:59 UTC,Staking Income,SOL,0.000326846,USD,94.205,0.03,0.03,0,
2024-01-06 18:51:05 UTC,Staking Income,ADA,0.071052,USD,0.52895,0.04,0.04,0,
2024-01-05 19:55:20 UTC,Staking Income,SOL,0.000324021,USD,98.065,0.03,0.03,0,
2024-01-04 15:05:52 UTC,Staking Income,SOL,0.000319467,USD,101.995,0.03,0.03,0,
2024-01-02 04:35:10 UTC,Staking Income,ADA,0.072756,USD,0.6292,0.05,0.05,0,
2024-01-02 02:42:29 UTC,Staking Income,SOL,0.00031824,USD,111.705,0.04,0.04,0,
2023-12-29 18:52:19 UTC,Staking Income,SOL,0.000316832,USD,105.335,0.03,0.03,0,
2023-12-29 02:23:58 UTC,Staking Income,SOL,0.000319991,USD,103.57,0.03,0.03,0,
2023-12-28 20:24:26 UTC,Staking Income,SOL,0.000317761,USD,99.945,0.03,0.03,0,
2023-12-28 04:18:43 UTC,Staking Income,ADA,0.072075,USD,0.67045,0.05,0.05,0,
2023-12-24 23:30:43 UTC,Staking Income,SOL,0.000002045,USD,112.69,0,0,0,
2023-12-24 20:11:08 UTC,Staking Income,SOL,0.000322746,USD,115.125,0.04,0.04,0,
2023-12-22 19:26:54 UTC,Staking Income,ADA,0.071702,USD,0.6181,0.04,0.04,0,
2023-12-20 18:56:55 UTC,Staking Income,SOL,0.000317851,USD,83,0.03,0.03,0,
2023-12-18 21:12:39 UTC,Staking Income,SOL,0.000318032,USD,74.115,0.02,0.02,0,
2023-12-18 04:11:00 UTC,Staking Income,ADA,0.071856,USD,0.57275,0.04,0.04,0,
2023-12-16 20:17:37 UTC,Staking Income,SOL,0.000311463,USD,74.06,0.02,0.02,0,
2023-12-13 23:54:46 UTC,Staking Income,ADA,0.07224,USD,0.66185,0.05,0.05,0,
2023-12-13 19:28:50 UTC,Staking Income,SOL,0.000315136,USD,68.905,0.02,0.02,0,
2023-12-13 03:36:19 UTC,Staking Income,ADA,0.072136,USD,0.55875,0.04,0.04,0,
2023-12-11 21:46:55 UTC,Staking Income,SOL,0.000316865,USD,69.275,0.02,0.02,0,
2023-12-09 19:17:02 UTC,Staking Income,SOL,0.000319555,USD,74.13,0.02,0.02,0,
2023-12-08 09:34:19 UTC,Staking Income,ADA,0.073963,USD,0.4936,0.04,0.04,0,
2023-12-07 19:08:39 UTC,Staking Income,SOL,0.000320072,USD,65.765,0.02,0.02,0,
2023-12-05 03:41:39 UTC,Staking Income,SOL,0.000319728,USD,60.48,0.02,0.02,0,
2023-12-03 01:39:05 UTC,Staking Income,ADA,0.071455,USD,0.39965,0.03,0.03,0,
2023-12-02 23:30:15 UTC,Staking Income,SOL,0.000314648,USD,63.015,0.02,0.02,0,
2023-11-30 18:07:40 UTC,Staking Income,SOL,0.000316788,USD,59.285,0.02,0.02,0,
2023-11-30 14:27:51 UTC,Staking Income,SOL,0.000314855,USD,60.05,0.02,0.02,0,
2023-11-30 04:04:23 UTC,Staking Income,SOL,0.000318066,USD,60.595,0.02,0.02,0,
2023-11-29 20:29:21 UTC,Staking Income,ADA,0.073209,USD,0.38345,0.03,0.03,0,
2023-11-24 14:16:17 UTC,Receive,ETH,1.132524343,USD,2105.635,2384.68,2384.68,0,Received 1.13252434332988 ETH from an external account
2023-11-24 14:00:11 UTC,Send,ETH,0.01015232,USD,2105.465,21.38,21.38,0,Sent 0.01015232 ETH to 0xc0bA316e741646F2cf5683E2f857fc7e4130a38F
2023-11-23 21:40:46 UTC,Staking Income,SOL,0.000318037,USD,56.455,0.02,0.02,0,
2023-11-23 03:04:25 UTC,Staking Income,ADA,0.073384,USD,0.38135,0.03,0.03,0,
2023-11-23 02:44:38 UTC,Staking Income,SOL,0.000319298,USD,57.935,0.02,0.02,0,
2023-11-21 17:05:43 UTC,Staking Income,SOL,0.000317562,USD,55.48,0.02,0.02,0,
2023-11-17 21:17:30 UTC,Staking Income,SOL,0.000312247,USD,57.865,0.02,0.02,0,
2023-11-17 19:35:54 UTC,Staking Income,ADA,0.144662,USD,0.36485,0.05,0.05,0,
2023-11-15 20:33:03 UTC,Staking Income,SOL,0.000309662,USD,66.36,0.02,0.02,0,
2023-11-15 20:18:44 UTC,Staking Income,ADA,0.074794,USD,0.37725,0.03,0.03,0,
2023-11-15 02:38:27 UTC,Staking Income,SOL,0.000315003,USD,56.645,0.02,0.02,0,
2023-11-10 22:12:50 UTC,Staking Income,SOL,0.000315614,USD,53.68,0.02,0.02,0,
2023-11-09 03:22:57 UTC,Staking Income,ADA,0.072559,USD,0.3638,0.03,0.03,0,
2023-11-08 21:20:45 UTC,Staking Income,SOL,0.000307175,USD,43.045,0.01,0.01,0,
2023-11-06 17:05:54 UTC,Staking Income,SOL,0.00031526,USD,40.085,0.01,0.01,0,
2023-11-03 19:44:09 UTC,Staking Income,SOL,0.000314794,USD,39.15,0.01,0.01,0,
2023-11-03 12:30:13 UTC,Staking Income,SOL,0.000301487,USD,39.59,0.01,0.01,0,
2023-11-03 12:04:40 UTC,Staking Income,SOL,0.000303629,USD,38.94,0.01,0.01,0,
2023-11-03 04:58:01 UTC,Staking Income,SOL,0.000310952,USD,38.31,0.01,0.01,0,
